suànn,380,散
suh/soh,422,欶
suî-tsāi,379,隨在
suí,313,媠
suî,357,隨
sûn,508,巡
ta-ke,412,大家
ta-kuann,412,大官
ta,377,焦
tà,509,罩
tāi-tsì,315,代誌
tai,368,呆
ta̍k,345,逐
tām-po̍h(-á),510,淡薄(仔)
tâm,381,澹
tàn,361,擲
tân,444,霆
tang-sî,512,當時
tàng-sng,513,凍霜
tang,511,冬
tann,319,今
tàu-sann-kāng,409,鬥相共
tàu,316,鬥
tau,334,兜
ta̍uh,455,沓
té,370,貯
teh,514,硩
thái-ko,393,癩
thâi,339,刣
thàn,355,趁
thang,304,通
thàng,405,痛
thàng,456,迵
that,353,窒
thâu-lōo,265,頭路
thàu-tsá,515,透早
tháu,457,敨
thâu,516,頭
thè-uānn,520,替換
thè,518,退
the̍h,382,提
thí,458,褫
thí,521,褫
thiám,454,忝
thiànn,402,疼
thiau-kang,266,刁工
thîn,361,斟
thīn,524,伨
thǹg,523,褪
thó-tsè,267,討債
thóng,449,捅
thôo,404,塗
thóo,525,土
thua,528,拖
thuah,451,挩
thuah,534,屜
thuh,531,托
thuh,533,黜
thūn,535,坉
tì-sik,286,智識
tī,268,佇
tī,536,箸
tiàm,538,踮
tian-tò,277,顛倒
tiānn-tiānn,274,定定
tiānn-tiānn,276,定定
tiânn,273,埕
tiánn,540,鼎
tiâu,539,牢
tìn-uī,280,鎮位
tīn,278,陣
tíng,289,頂
tīng,415,𠕇
tīnn,411,滇
tio̍h,343,著
tiong-tàu,341,中晝
tiunn-tî,288,張持
tǹg,356,頓
tn̄g,421,搪
tó-uī,385,佗位
to,342,都
to̍h,385,著
tok-ku,360,啄龜
tok,423,剁
tōng,487,撞
tōo-kún,364,杜蚓
tsa-bóo,303,查某
tsa-hng,415,昨昏
tsa̍h,290,閘
tsah,298,紮
tsâi-tiāu,462,才調
tsai,301,知
tsām-tsat,301,站節
tsām,384,站
tsàm,416,蹔
tsâng,484,欉
tsànn,391,乍
tsa̍p-liām,348,雜唸
tsat,495,節
tsa̍t,519,實
tsáu-bī,527,走味
tsáu,493,走
tsàu,494,灶
tsáu,517,走
tsē,305,濟
tse/tsit,291,這
tsha̍k-ba̍k,302,鑿目
tsháu-meh-á,417,草蜢仔
tshenn-hūn,353,生份
tshenn-mê,321,青盲
tshiah,326,刺
tshiâu,543,撨
tshìn-tshái,304,凊彩
tshin-tshiūnn,341,親像
tshin-tsiânn,541,親情
tshing-khì,357,清氣
tshing-phang,522,清芳
tshinn,526,鮮
tshiò-hai-hai,387,笑咍咍
tshit-thô,372,𨑨迌
tshit,348,拭
tshòng-tī,359,創治
tshòng,529,創
tshù,307,厝
