期數,詞目,音讀
413,梢聲,sau-siann
413,攢,tshuân
414,糾,kiù
414,潘,phun
415,𠕇,tīng
415,昨昏,tsa-hng
416,蹔,tsàm
416,下,ē
417,唚,tsim
417,草蜢仔,tsháu-meh-á
418,舂,tsing
418,螿蜍,tsiunn-tsî
419,這馬,tsit-má
419,逝,tsuā
420,水雞,tsuí-ke/suí-kue
420,炸,tsuànn
421,搪,tn̄g
421,駐,tū
422,綴,tuè
422,欶,suh/soh
423,剁,tok
423,囂俳,hiau-pia/hia-pai
424,干焦,kan-na
424,交懍恂,ka-lún-sún
425,家私,ke-si
425,家婆,ke-pô
426,骨力,kut-la̍t
426,狹,e̍h
427,掔,khian
427,冇,phànn
428,掰,pué/pé/pér
428,泔,ám
429,曷,a̍h/ia̍h
429,漚,àu
430,餾,liū
430,勥,khiàng
431,茉莉,ba̍k-nī
431,袂當,bē-tàng/buē-tàng
432,目屎,ba̍k-sái
432,䆀,bái
433,挵,lòng
433,杙,khi̍t
434,殕,phú
434,沬,bī
435,汫,tsiánn
435,敲,khà
436,膎,kê
436,捎,sa
437,相借問,sio-tsioh-mn̄g
437,煏,piak
438,齒戳（仔）,khí-thok(-á)
438,磅米芳,pōng-bí-phang
439,拍呃,phah-eh
439,鉎,sian
440,生,senn
440,越,ua̍t
441,捧,phóng
441,啥物,siánn-mih
442,盤,puânn
442,液,sio̍h
443,僫,oh
444,霆,tân
445,薟,hiam
446,抨,phiann
447,跤頭趺,kha-thâu-u
448,蚵,ô
449,捅,thóng
450,倯,sông
451,挩,thuah
452,受氣,siū-khì
453,䘼,ńg
454,忝,thiám
455,沓,ta̍uh
456,迵,thàng
457,敨,tháu
458,褫,thí
459,掣,tshuah
460,疶,tshuah
461,扦,tshuann
462,才調,tsâi-tiāu
463,炊,tshue
464,賰,tshun
465,喙䫌,tshuì-phué
466,糍,tsî
467,軁,nǹg
468,才,tsiah
469,遮,tsiah
470,寂寞,tsi̍k-bo̍k
471,食,tsia̍h
472,煎,tsian
473,針黹,tsiam-tsí
474,斟酌,tsim-tsiok
475,從,tsîng
476,舐,tsīnn/tsn̄g/tsuīnn/tsī
477,少,tsió
478,守,tsiú
479,咒誓,tsiù-tsuā
480,昨日,tso̍h--ji̍t
481,做伙,tsò-hué
482,就,tsiū
483,煎,tsuann
484,欉,tsâng
485,蹛,tuà
486,怨嘆,uàn-thàn
487,撞,tōng
488,揬,tu̍h
489,注,tù
490,斡,uat
491,晏,uànn
492,搵,ùn
493,走,tsáu
494,灶,tsàu
495,節,tsat
496,身軀,sin-khu
497,承,sîn
498,四秀（仔）,sì-siù(-á)
499,失志,sit-tsì
500,岫,siū
501,挲,so
502,鎖匙,só-sî
503,索,soh
504,思慕,su-bōo
505,徙,suá
506,漩,suān
507,璇石,suān
508,巡,sûn
509,罩,tà
510,淡薄(仔),tām-po̍h(-á)
511,冬,tang
512,當時,tang-sî
513,凍霜,tàng-sng
514,硩,teh
515,透早,thàu-tsá
516,頭,thâu
517,走,tsáu
518,退,thè
519,實,tsa̍t
520,替換,thè-uānn
521,褫,thí
522,清芳,tshing-phang
523,褪,thǹg
524,伨,thīn
525,土,thóo
526,鮮,tshinn
527,走味,tsáu-bī
528,拖,thua
529,創,tshòng
530,曲,khiau
531,托,thuh
532,鈷,kóo
533,黜,thuh
534,屜,thuah
535,坉,thūn
536,箸,tī
537,蟧蜈,lâ-giâ
538,踮,tiàm
539,牢,tiâu
540,鼎,tiánn
541,親情,tshin-tsiânn
542,趨,tshu
543,撨,tshiâu
544,𤆬,tshuā
